"","X","pubbel1","pribel1","pribel2","pribel3","othbel1","othbel2","pubact1","pubact2","priact1","priact2","iden1","iden2","iden3","country","sex","age","educ","wrkstat","ethnic","denom","marital"
"73334",73334,2,1,1,1,2,1,3,2,1,2,1,2,8,840,1,44,4,1,840010,2,6
"73335",73335,3,1,1,1,2,2,6,2,2,2,1,3,7,840,2,40,8,1,840010,2,1
"73336",73336,3,1,1,2,1,1,7,3,2,1,1,3,9,840,1,43,8,1,840010,96,1
"73337",73337,1,1,1,1,2,1,2,1,1,1,1,1,10,840,2,36,8,1,840010,1,6
"73338",73338,2,1,1,1,2,1,3,2,2,2,2,2,8,840,2,25,9,1,840010,2,6
"73339",73339,2,1,1,-1,2,3,2,1,2,2,1,2,4,840,1,39,9,1,840010,2,6
"73340",73340,2,1,1,1,2,1,2,1,1,1,1,1,9,840,2,80,5,4,840010,1,1
"73341",73341,1,1,1,1,2,1,1,1,1,1,1,1,10,840,2,48,8,1,840010,80,1
"73342",73342,1,1,1,1,2,1,2,2,1,1,1,1,10,840,2,93,8,4,840010,1,5
"73343",73343,1,1,1,1,2,1,1,1,1,1,1,1,10,840,1,32,4,1,840011,2,1
"73344",73344,2,1,1,1,1,1,3,1,1,1,1,1,10,840,2,74,2,7,840011,2,5
"73345",73345,1,1,1,1,2,10,1,1,1,1,1,1,10,840,1,30,3,1,840011,2,1
"73346",73346,2,1,1,1,2,1,2,2,2,2,1,1,10,840,2,32,9,1,840010,1,1
"73347",73347,1,1,1,1,2,1,2,1,2,2,1,1,9,840,2,74,9,7,840010,2,1
"73348",73348,2,1,1,1,2,1,4,3,1,2,1,1,7,840,1,48,3,2,840010,2,6
"73349",73349,1,1,1,1,2,3,2,1,1,2,1,1,9,840,1,42,5,1,840010,2,1
"73350",73350,3,1,1,1,2,1,7,2,2,2,2,2,6,840,2,28,5,5,840010,96,1
"73351",73351,2,1,1,1,2,1,2,1,1,1,1,1,10,840,2,70,3,-2,840010,2,1
"73352",73352,1,1,1,1,2,1,3,1,2,2,1,1,8,840,2,36,4,1,840010,2,1
"73353",73353,1,1,1,2,2,1,3,1,2,3,1,1,7,840,1,49,4,1,840010,2,1
"73354",73354,1,1,1,1,2,2,2,1,2,3,1,1,9,840,2,38,5,5,840010,1,1
"73355",73355,2,1,1,1,2,1,1,1,2,3,1,1,10,840,2,79,3,5,840010,1,1
"73356",73356,1,1,1,1,2,1,2,1,1,1,1,1,9,840,1,59,3,3,840010,1,1
"73357",73357,1,1,1,1,2,1,2,1,1,2,1,1,10,840,2,50,9,1,840010,1,1
"73358",73358,2,1,1,1,2,1,3,2,1,1,1,1,10,840,1,-1,9,4,840010,2,1
"73359",73359,2,1,1,1,2,1,6,2,2,3,1,1,10,840,1,68,4,4,840010,1,1
"73360",73360,2,1,1,1,2,1,2,1,1,1,1,1,10,840,2,35,7,5,840010,80,1
"73361",73361,1,1,1,1,2,1,2,1,1,1,1,1,10,840,1,76,2,4,840011,2,1
"73362",73362,1,1,1,1,2,1,2,1,1,2,1,1,10,840,2,62,3,2,840011,2,5
"73363",73363,1,1,1,1,2,3,4,1,1,1,1,1,10,840,2,80,2,4,840011,2,5
"73364",73364,2,1,1,1,2,1,4,2,1,2,1,1,6,840,1,18,4,1,840011,2,6
"73365",73365,1,1,1,1,2,1,1,1,2,2,1,1,10,840,2,50,7,1,840011,2,1
"73366",73366,3,1,1,1,2,1,7,3,1,1,2,3,5,840,1,38,4,3,840010,2,1
"73367",73367,1,1,1,1,2,1,1,1,2,2,1,1,10,840,2,48,4,8,840010,2,1
"73368",73368,2,1,1,1,2,1,2,1,2,3,1,1,8,840,2,37,8,1,840010,1,1
"73369",73369,3,1,1,1,2,3,4,3,2,2,2,2,7,840,2,45,9,1,840010,1,1
"73370",73370,3,1,-1,2,2,1,7,3,2,3,2,2,6,840,1,47,5,1,840010,4,1
"73371",73371,1,1,1,1,2,3,3,1,2,2,1,2,10,840,2,32,8,5,840010,4,1
"73372",73372,2,1,1,1,2,3,2,1,2,2,1,1,9,840,1,50,9,1,840010,1,-1
"73373",73373,3,1,1,1,2,2,4,3,-1,2,2,3,7,840,1,42,5,1,840010,1,1
"73374",73374,3,2,-1,2,1,1,7,3,3,2,2,4,1,840,1,42,9,1,840010,96,6
"73375",73375,2,1,2,2,2,2,2,1,2,2,1,1,7,840,2,-1,6,5,840010,1,1
"73376",73376,1,1,1,1,2,3,2,1,1,1,1,2,10,840,1,65,6,2,840010,2,1
"73377",73377,1,1,1,1,2,1,2,1,3,2,1,1,10,840,2,67,5,5,840010,2,1
"73378",73378,3,-1,2,2,1,2,7,2,2,2,2,3,3,840,1,65,5,4,840010,96,1
"73379",73379,1,1,1,1,2,1,1,1,1,2,1,1,10,840,2,36,6,2,840010,1,1
"73380",73380,1,1,1,1,2,1,2,2,2,2,1,2,10,840,1,82,9,4,840010,80,1
"73381",73381,3,1,1,1,2,3,6,2,2,1,1,2,10,840,1,47,5,1,840010,96,1
"73382",73382,2,1,1,1,2,1,3,2,2,2,2,2,6,840,1,45,8,1,840010,80,1
"73383",73383,1,1,1,1,2,2,2,1,1,1,1,1,10,840,2,37,7,2,840010,80,1
"73384",73384,1,1,1,1,2,1,2,1,2,2,1,1,10,840,1,78,7,4,840010,80,1
"73385",73385,3,1,1,1,2,3,7,3,1,1,1,3,9,840,1,21,7,1,840010,96,2
"73386",73386,1,1,1,1,2,1,2,1,1,1,1,1,10,840,1,34,9,1,840010,80,1
"73387",73387,2,1,1,1,2,1,2,1,2,1,1,1,10,840,2,66,9,4,840010,80,1
"73388",73388,3,2,1,2,2,4,7,3,1,1,1,4,1,840,2,43,8,1,840010,96,3
"73389",73389,2,1,1,1,2,6,3,1,1,-1,1,1,10,840,1,76,2,4,840010,80,1
"73390",73390,1,1,1,1,2,1,2,1,1,1,1,1,10,840,2,76,3,4,840010,80,5
"73391",73391,1,1,1,1,2,1,6,2,2,2,2,1,10,840,1,59,3,1,840010,80,1
"73392",73392,1,1,1,1,2,1,2,1,2,2,1,1,10,840,2,25,7,5,840010,80,1
"73393",73393,2,1,1,1,-1,1,2,1,2,1,1,1,10,840,1,40,4,1,840004,1,1
"73394",73394,-1,1,1,1,2,-1,5,3,1,4,2,-1,-1,840,1,43,5,1,840011,2,1
"73395",73395,1,1,1,1,2,1,6,1,1,1,1,1,10,840,2,69,8,5,840010,2,1
"73396",73396,1,1,1,1,2,1,7,2,1,1,1,1,10,840,1,48,9,1,840010,96,1
"73397",73397,3,1,1,2,2,1,2,1,2,1,1,3,5,840,2,77,9,3,840010,2,1
"73398",73398,3,1,1,2,2,1,7,2,1,2,1,3,8,840,1,65,9,3,840010,2,1
"73399",73399,1,1,1,1,2,1,2,1,2,1,2,3,10,840,1,79,9,4,840010,2,5
"73400",73400,2,1,1,1,2,1,1,1,1,1,1,1,10,840,2,81,6,5,840010,2,5
"73401",73401,1,1,1,1,2,1,2,1,2,1,1,1,9,840,1,31,7,7,840004,1,5
"73402",73402,-1,1,-1,-1,2,1,7,2,2,2,2,-1,5,840,2,32,3,1,840004,96,1
"73403",73403,1,1,1,1,2,1,2,1,2,2,1,1,10,840,2,30,8,1,-2,1,1
"73404",73404,2,1,1,1,2,1,4,1,2,1,1,2,9,840,1,30,8,1,-2,1,1
"73405",73405,2,1,1,1,2,1,5,1,2,1,1,2,4,840,2,50,9,1,840010,2,1
"73406",73406,2,1,1,1,2,1,2,1,2,3,1,1,10,840,2,39,3,7,840004,1,1
"73407",73407,1,1,1,1,2,1,3,1,2,2,1,1,10,840,2,24,4,7,840004,1,1
"73408",73408,2,1,1,1,2,3,2,2,1,1,1,1,9,840,1,55,4,8,840011,2,4
"73409",73409,1,1,1,1,2,1,2,1,1,2,1,1,9,840,2,71,4,4,840011,2,5
"73410",73410,2,1,1,1,2,2,2,1,1,1,1,1,9,840,2,38,5,1,840011,80,6
"73411",73411,1,1,1,1,1,1,1,1,1,1,1,1,10,840,2,70,7,4,840011,2,1
"73412",73412,1,1,1,1,2,1,-1,1,1,2,1,1,10,840,1,23,9,1,840010,2,1
"73413",73413,1,1,1,1,2,1,2,1,1,1,1,1,10,840,2,81,9,4,840010,2,5
"73414",73414,3,1,1,2,2,1,4,2,2,1,1,1,6,840,1,44,-1,1,840010,1,1
"73415",73415,1,1,1,1,2,1,7,3,2,1,1,2,10,840,1,58,9,1,840010,96,2
"73416",73416,1,1,1,1,2,1,2,1,2,1,1,1,10,840,2,41,9,2,840010,2,1
"73417",73417,1,1,1,1,2,1,2,1,2,2,1,1,9,840,2,35,9,1,840010,2,1
"73418",73418,2,1,1,1,2,1,1,1,2,1,1,1,10,840,2,55,9,2,840010,1,3
"73419",73419,2,1,1,1,2,1,2,2,1,3,1,2,7,840,2,28,9,1,840010,1,1
