"","X","pubbel1","pubbel2","pubbel3","pubbel4","pribel1","pribel2","pribel3","othbel1","othbel2","pubact1","pubact2","priact1","priact2","iden1","iden2","iden3","country","sex","age","educ","wrkstat","ethnic","denom","marital"
"55644",55644,1,1,5,1,1,1,1,2,1,1,1,1,1,1,1,10,840,2,56,8,4,840002,62,1
"55645",55645,3,1,3,3,1,1,1,2,4,1,1,1,1,1,1,10,840,2,42,9,1,840002,53,1
"55646",55646,1,3,4,2,1,1,1,2,3,2,1,1,1,1,1,10,840,2,37,8,1,840003,53,3
"55647",55647,2,2,2,3,1,1,1,2,1,2,1,1,3,1,2,7,840,2,46,9,1,840002,62,1
"55648",55648,1,2,4,1,1,1,1,2,10,1,1,1,1,1,1,10,840,2,48,9,1,840003,53,1
"55649",55649,1,1,3,1,1,1,1,2,3,1,1,1,1,1,1,10,840,2,38,8,1,840003,53,1
"55650",55650,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,10,840,2,51,9,1,840003,62,1
"55651",55651,1,1,5,1,1,1,1,2,1,1,1,1,1,1,1,10,840,2,48,9,1,840002,53,1
"55652",55652,1,3,5,1,1,1,1,2,1,3,2,1,1,1,1,10,840,2,76,3,1,840002,53,3
"55653",55653,1,2,5,2,1,1,1,2,4,3,2,1,2,1,2,9,840,1,44,8,3,840002,64,1
"55654",55654,2,3,2,3,1,1,1,2,1,6,1,1,2,1,1,7,840,2,41,5,3,840003,53,4
"55655",55655,1,3,5,1,1,1,1,2,1,1,1,1,1,1,1,10,840,2,30,9,5,840002,62,1
"55656",55656,2,1,1,1,1,1,1,2,1,5,2,1,2,1,1,10,840,1,44,8,7,840002,0,3
"55657",55657,2,2,3,2,1,1,1,2,7,2,1,1,1,1,1,10,840,1,41,7,4,840003,53,1
"55658",55658,1,2,3,2,1,1,1,2,4,4,2,1,1,1,1,10,840,2,40,8,3,840002,-2,1
"55659",55659,1,3,1,1,1,1,1,2,4,2,1,1,1,2,1,6,840,1,53,8,3,840003,0,4
"55660",55660,1,1,3,2,1,1,1,2,1,2,1,1,1,1,1,10,840,2,44,9,1,840002,64,1
"55661",55661,2,2,4,2,1,1,1,2,3,1,1,1,2,1,1,8,840,2,25,9,1,840002,62,3
"55662",55662,1,1,4,2,1,1,1,2,5,2,1,1,1,1,1,10,840,2,21,8,2,840007,52,6
"55663",55663,1,1,3,3,1,1,1,2,1,2,1,1,1,1,1,10,840,2,37,3,1,840002,64,2
"55664",55664,2,3,2,3,1,1,1,2,1,2,1,1,2,1,1,10,840,2,45,8,1,840002,53,1
"55665",55665,4,3,5,1,1,1,1,2,1,3,2,1,1,1,1,10,840,2,21,6,2,840002,53,6
"55666",55666,1,1,3,3,1,1,1,2,1,2,1,1,1,1,1,10,840,1,45,9,8,840003,64,3
"55667",55667,4,1,5,5,1,1,2,1,1,7,2,1,1,1,1,10,840,2,43,6,2,840003,49,2
"55668",55668,1,3,1,4,1,1,1,2,6,3,1,1,2,1,1,8,840,2,33,8,1,840002,42,3
"55669",55669,1,1,5,1,1,1,1,2,1,1,1,1,1,1,1,10,840,1,47,5,1,840003,53,1
"55670",55670,1,5,4,3,1,1,1,2,1,2,1,1,1,1,1,10,840,2,37,9,1,840002,62,1
"55671",55671,2,2,5,1,1,1,1,2,1,2,1,1,1,1,1,10,840,2,56,8,2,840002,62,1
"55672",55672,3,5,2,4,1,1,1,2,1,6,2,1,1,1,3,5,840,2,40,7,2,840002,0,1
"55673",55673,1,4,4,4,1,-1,1,1,1,3,2,1,2,2,3,10,840,2,21,2,7,840005,64,1
"55674",55674,2,4,3,3,1,1,2,2,3,5,2,1,1,1,1,10,840,2,42,9,1,840002,0,6
"55675",55675,1,3,2,2,1,1,1,2,1,3,2,1,2,1,1,10,840,1,37,4,8,840002,62,6
"55676",55676,2,2,2,2,1,1,1,2,1,6,1,1,1,1,1,9,840,2,35,7,1,840005,53,6
"55677",55677,4,4,2,4,2,2,2,2,1,7,2,2,3,3,2,1,840,1,48,9,4,840002,42,6
"55678",55678,2,2,2,4,1,1,1,2,3,2,1,1,2,1,1,7,840,1,40,9,1,840005,64,1
"55679",55679,2,4,2,4,1,1,1,2,2,7,2,1,1,1,2,9,840,2,44,5,1,840002,53,1
"55680",55680,1,2,4,2,1,1,1,2,1,2,1,1,1,1,2,9,840,2,21,6,2,840002,62,6
"55681",55681,1,5,3,1,1,1,1,2,1,1,1,1,1,1,1,10,840,1,22,6,1,840004,53,6
"55682",55682,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,10,840,2,69,5,4,840002,53,5
"55683",55683,1,1,2,2,1,1,1,2,1,1,1,1,2,1,1,10,840,2,29,8,2,840002,0,1
"55684",55684,2,4,2,3,1,1,1,2,1,2,1,1,2,1,1,10,840,2,49,9,7,840002,62,1
"55685",55685,1,3,2,1,1,1,1,2,1,1,1,1,1,1,1,10,840,2,39,5,1,840003,62,4
"55686",55686,1,3,4,3,1,1,1,2,1,2,1,1,1,1,1,10,840,1,18,5,6,840003,62,6
"55687",55687,2,4,2,4,1,1,1,2,10,2,2,2,1,1,1,10,840,1,46,4,8,840003,62,1
"55688",55688,3,1,5,1,1,1,1,2,1,1,1,1,1,1,1,10,840,2,24,6,1,840003,62,6
"55689",55689,2,2,3,2,1,1,1,2,1,2,1,1,1,1,1,10,840,2,49,8,1,840003,62,3
"55690",55690,1,2,2,2,1,1,1,2,1,2,1,1,1,1,1,10,840,2,79,4,4,840002,62,5
"55691",55691,1,1,1,1,1,1,1,2,1,4,2,2,1,2,-1,10,840,2,64,3,4,840002,0,5
