"","X","pubbel1","pribel1","othbel2","pubact1","pubact2","priact1","priact2","iden1","iden2","iden3","country","sex","age","educ","wrkstat","ethnic","denom","marital"
"66811",66811,4,1,1,6,1,3,2,1,2,10,840,2,69,8,2,840003,62,6
"66812",66812,4,2,1,7,0,8,3,2,4,1,840,2,40,9,5,840004,0,1
"66813",66813,3,1,1,7,1,8,3,2,3,6,840,1,38,9,1,840002,53,1
"66814",66814,2,1,1,1,2,1,2,1,1,10,840,2,61,7,4,840002,53,1
"66815",66815,2,1,1,2,2,1,2,1,1,10,840,2,62,9,4,840002,64,1
"66816",66816,3,1,1,4,1,3,1,1,2,9,840,1,49,9,3,840002,64,3
"66817",66817,3,1,4,2,2,3,1,1,2,8,840,2,18,7,6,840002,53,6
"66818",66818,2,1,1,6,0,3,2,1,2,9,840,2,53,7,1,840002,0,1
"66819",66819,1,1,1,2,2,3,2,1,2,9,840,1,25,9,8,840002,53,6
"66820",66820,2,1,2,4,1,4,1,1,2,6,840,2,23,9,6,840002,64,6
"66821",66821,4,2,1,7,0,8,2,2,4,1,840,2,55,9,1,840002,0,1
"66822",66822,3,1,1,5,0,4,1,2,4,3,840,2,38,9,2,840002,0,1
"66823",66823,2,1,1,6,0,1,3,1,1,10,840,2,56,7,1,840002,62,1
"66824",66824,1,1,1,2,2,2,2,1,1,10,840,2,68,8,4,840002,62,1
"66825",66825,2,1,2,3,2,3,1,1,2,7,840,2,57,9,1,840002,62,1
"66826",66826,1,1,1,1,2,1,1,1,1,10,840,2,73,7,4,840002,53,1
"66827",66827,3,1,1,4,1,3,2,1,3,8,840,2,44,8,1,840003,0,6
"66828",66828,4,2,2,7,0,8,2,3,4,1,840,1,76,8,8,840002,0,1
"66829",66829,2,1,2,4,1,1,1,1,2,10,840,2,55,8,2,840002,64,1
"66830",66830,2,2,1,2,2,8,2,3,3,1,840,1,64,9,2,840006,53,1
"66831",66831,1,1,NA,NA,2,NA,NA,1,1,10,840,2,20,8,2,840002,NA,6
"66832",66832,2,1,2,1,2,1,1,1,1,10,840,2,37,9,1,840002,53,1
"66833",66833,1,1,1,2,2,2,2,1,1,10,840,2,65,7,4,840002,64,1
"66834",66834,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,840,1,42,9,NA,840002,NA,1
