"","X","prvblf","othblf","pubact","prvact","iden1","iden2","wave","sex","age","educ","work","ethnic","denom","marital","pubblf1","pubblf2","pubblf3","pubblf4","prvblf2","prvblf3","prvblf4","othblf2","pubact2","prvact2","pubact3"
"1",1,9,9,6,1,2,3,"1","Female",56,"Some College","Unemployed","White","Christian","Married",1,1,5,1,1,1,1,2,1,1,NA
"2",2,9,6,6,1,2,3,"1","Female",42,"Degree","Full Time","White","Other","Married",3,1,3,3,1,1,1,2,1,1,NA
"3",3,9,7,5,1,2,3,"1","Female",37,"Some College","Full Time","Black","Other","Separated",1,3,4,2,1,1,1,2,1,1,NA
"4",4,6,9,5,1,2,2,"1","Female",46,"Degree","Full Time","White","Christian","Married",2,2,2,3,1,1,1,2,1,3,NA
"5",5,9,0,6,1,2,3,"1","Female",48,"Degree","Full Time","Black","Other","Married",1,2,4,1,1,1,1,2,1,1,NA
"6",6,9,7,6,1,2,3,"1","Female",38,"Some College","Full Time","Black","Other","Married",1,1,3,1,1,1,1,2,1,1,NA
"7",7,9,9,6,1,2,3,"1","Female",51,"Degree","Full Time","Black","Christian","Married",1,1,2,2,1,1,1,2,1,1,NA
"8",8,9,9,6,1,2,3,"1","Female",48,"Degree","Full Time","White","Other","Married",1,1,5,1,1,1,1,2,1,1,NA
"9",9,9,9,4,1,2,3,"1","Female",76,"Primary School","Full Time","White","Other","Separated",1,3,5,1,1,1,1,2,2,1,NA
"10",10,8,6,4,1,2,2,"1","Male",44,"Some College","Self Employed","White","Catholic","Married",1,2,5,2,1,1,1,2,2,2,NA
"11",11,6,9,1,1,2,3,"1","Female",41,"High School","Self Employed","Black","Other","Separated",2,3,2,3,1,1,1,2,1,2,NA
"12",12,9,9,6,1,2,3,"1","Female",30,"Degree","Housewife","White","Christian","Married",1,3,5,1,1,1,1,2,1,1,NA
"14",14,9,3,5,1,2,3,"1","Male",41,"High School","Unemployed","Black","Other","Married",2,2,3,2,1,1,1,2,1,1,NA
"17",17,9,9,5,1,2,3,"1","Female",44,"Degree","Full Time","White","Catholic","Married",1,1,3,2,1,1,1,2,1,1,NA
"18",18,7,7,6,1,2,3,"1","Female",25,"Degree","Full Time","White","Christian","Separated",2,2,4,2,1,1,1,2,1,2,NA
"19",19,9,5,5,1,2,3,"1","Female",21,"Some College","Part Time","Other","Christian","Single",1,1,4,2,1,1,1,2,1,1,NA
"20",20,9,9,5,1,2,3,"1","Female",37,"Primary School","Full Time","White","Catholic","Married",1,1,3,3,1,1,1,2,1,1,NA
"21",21,9,9,5,1,2,3,"1","Female",45,"Some College","Full Time","White","Other","Married",2,3,2,3,1,1,1,2,1,2,NA
"22",22,9,9,4,1,2,3,"1","Female",21,"High School","Part Time","White","Other","Single",4,3,5,1,1,1,1,2,2,1,NA
"23",23,9,9,5,1,2,3,"1","Male",45,"Degree","Other","Black","Catholic","Separated",1,1,3,3,1,1,1,2,1,1,NA
"24",24,9,9,0,1,2,3,"1","Female",43,"High School","Part Time","Black","Other","Married",4,1,5,5,1,2,1,1,2,1,NA
"25",25,7,4,4,1,2,3,"1","Female",33,"Some College","Full Time","White","Judaism","Separated",1,3,1,4,1,1,1,2,1,2,NA
"26",26,9,9,6,1,2,3,"1","Male",47,"High School","Full Time","Black","Other","Married",1,1,5,1,1,1,1,2,1,1,NA
"27",27,9,9,5,1,2,3,"1","Female",37,"Degree","Full Time","White","Christian","Married",1,5,4,3,1,1,1,2,1,1,NA
"28",28,9,9,5,1,2,3,"1","Female",56,"Some College","Part Time","White","Christian","Married",2,2,5,1,1,1,1,2,1,1,NA
"30",30,9,9,4,1,1,1,"1","Female",21,"Primary School","Unemployed","Hispanic","Catholic","Married",1,4,4,4,-1,1,1,1,2,2,NA
"32",32,9,9,4,1,2,3,"1","Male",37,"High School","Other","White","Christian","Single",1,3,2,2,1,1,1,2,2,2,NA
"33",33,8,9,1,1,2,3,"1","Female",35,"High School","Full Time","Hispanic","Other","Single",2,2,2,2,1,1,1,2,1,1,NA
"34",34,0,9,0,0,0,2,"1","Male",48,"Degree","Unemployed","White","Judaism","Single",4,4,2,4,2,2,2,2,2,3,NA
"35",35,6,7,5,1,2,3,"1","Male",40,"Degree","Full Time","Hispanic","Catholic","Married",2,2,2,4,1,1,1,2,1,2,NA
"36",36,8,8,0,1,2,2,"1","Female",44,"High School","Full Time","White","Other","Married",2,4,2,4,1,1,1,2,2,1,NA
"37",37,8,9,5,1,2,2,"1","Female",21,"High School","Part Time","White","Christian","Single",1,2,4,2,1,1,1,2,1,1,NA
"38",38,9,9,6,1,2,3,"1","Male",22,"High School","Full Time","Other","Other","Single",1,5,3,1,1,1,1,2,1,1,NA
"39",39,9,9,6,1,2,3,"1","Female",69,"High School","Unemployed","White","Other","Widowed",1,2,2,2,1,1,1,2,1,1,NA
"41",41,9,9,5,1,2,3,"1","Female",49,"Degree","Unemployed","White","Christian","Married",2,4,2,3,1,1,1,2,1,2,NA
"42",42,9,9,6,1,2,3,"1","Female",39,"High School","Full Time","Black","Christian","Separated",1,3,2,1,1,1,1,2,1,1,NA
"43",43,9,9,5,1,2,3,"1","Male",18,"High School","Other","Black","Christian","Single",1,3,4,3,1,1,1,2,1,1,NA
"44",44,9,0,5,0,2,3,"1","Male",46,"High School","Other","Black","Christian","Married",2,4,2,4,1,1,1,2,2,1,NA
"45",45,9,9,6,1,2,3,"1","Female",24,"High School","Full Time","Black","Christian","Single",3,1,5,1,1,1,1,2,1,1,NA
"46",46,9,9,5,1,2,3,"1","Female",49,"Some College","Full Time","Black","Christian","Separated",2,2,3,2,1,1,1,2,1,1,NA
"47",47,9,9,5,1,2,3,"1","Female",79,"High School","Unemployed","White","Christian","Widowed",1,2,2,2,1,1,1,2,1,1,NA
"49",49,9,9,6,1,2,3,"1","Female",40,"Primary School","Housewife","White","Other","Married",1,-1,4,-1,1,1,1,2,1,2,NA
"51",51,9,7,4,1,1,3,"1","Male",55,"High School","Full Time","White","Christian","Married",1,4,2,4,1,1,1,2,1,1,NA
"55",55,9,9,6,1,2,3,"1","Female",54,"Some College","Housewife","White","Other","Married",1,2,3,1,1,1,1,2,1,1,NA
"57",57,9,2,6,1,2,3,"1","Female",35,"High School","Full Time","Black","Other","Separated",1,4,1,1,1,1,1,1,2,2,NA
"59",59,2,3,4,1,1,3,"1","Male",22,"Primary School","Full Time","Hispanic","Other","Separated",1,1,3,1,1,-1,1,1,2,3,NA
"62",62,9,7,4,1,2,3,"1","Male",21,"High School","Part Time","Black","Other","Single",2,2,4,3,1,1,1,1,2,1,NA
"63",63,7,9,3,1,2,3,"1","Female",49,"High School","Full Time","Other","Other","Separated",4,3,2,2,1,1,1,2,2,1,NA
"64",64,9,7,3,1,2,1,"1","Male",54,"Degree","Self Employed","Other","Christian","Single",3,4,3,4,1,2,1,2,1,1,NA
"65",65,9,8,6,1,2,3,"1","Female",36,"Some College","Full Time","Black","Other","Separated",1,1,4,2,1,1,1,2,1,1,NA
"66",66,9,7,4,1,2,3,"1","Male",30,"High School","Full Time","White","Catholic","Single",1,1,4,1,1,1,1,2,1,2,NA
"67",67,9,7,6,1,2,3,"1","Male",50,"High School","Full Time","Black","Christian","Single",1,4,4,4,1,1,1,2,1,1,NA
"69",69,9,9,4,1,2,2,"1","Female",54,"Some College","Full Time","White","Christian","Separated",2,3,3,2,1,1,1,2,1,3,NA
"70",70,9,7,1,1,2,2,"1","Female",61,"Some College","Self Employed","Black","Christian","Married",3,3,2,4,1,1,1,2,2,1,NA
"72",72,9,9,2,1,2,3,"1","Female",55,"Some College","Part Time","White","Christian","Married",3,2,2,4,1,1,1,2,1,1,NA
"73",73,9,9,6,1,2,3,"1","Male",29,"Primary School","Full Time","Black","Other","Married",1,4,2,4,1,1,1,2,1,2,NA
"75",75,9,4,4,1,2,3,"1","Female",27,"High School","Housewife","Hispanic","Catholic","Married",2,1,2,4,1,1,1,2,1,2,NA
"76",76,9,9,3,1,2,3,"1","Female",55,"Primary School","Unemployed","Black","Other","Married",1,4,4,2,1,1,1,2,1,1,NA
"79",79,9,8,6,1,2,3,"1","Female",19,"Some College","Full Time","White","Other","Single",1,4,4,2,1,1,1,2,1,2,NA
"80",80,3,9,3,0,1,1,"1","Female",23,"Some College","Full Time","White","Christian","Single",-1,4,3,4,1,-1,1,2,1,3,NA
"81",81,9,9,4,1,2,2,"1","Female",49,"High School","Full Time","Hispanic","Catholic","Married",1,1,3,1,1,1,1,2,1,1,NA
"84",84,9,8,0,1,2,1,"1","Female",49,"Degree","Full Time","White","Other","Separated",3,2,2,3,1,2,1,1,2,1,NA
"85",85,9,8,6,1,2,3,"1","Male",55,"Degree","Self Employed","White","Other","Married",4,1,4,4,1,1,1,2,1,1,NA
"86",86,8,9,5,1,2,3,"1","Male",38,"High School","Unemployed","White","Christian","Separated",1,1,5,1,1,1,1,2,1,1,NA
"88",88,9,9,6,1,2,3,"1","Male",18,"High School","Full Time","White","Christian","Single",3,1,1,1,1,1,1,2,1,1,NA
"89",89,6,9,3,1,2,2,"1","Female",52,"High School","Unemployed","White","Christian","Married",2,4,3,4,1,1,1,2,2,2,NA
"90",90,9,9,5,1,2,3,"1","Male",71,"Degree","Unemployed","Hispanic","Catholic","Married",3,3,4,2,1,1,1,2,1,1,NA
"92",92,9,8,5,1,2,3,"1","Male",34,"High School","Full Time","White","Other","Married",2,2,4,2,1,1,1,2,1,2,NA
"93",93,9,9,6,1,2,3,"1","Male",52,"Degree","Full Time","Black","Christian","Married",1,1,2,1,1,1,1,2,1,1,NA
"94",94,9,9,4,1,2,3,"1","Female",72,"High School","Full Time","White","Christian","Widowed",2,2,4,2,1,1,1,2,1,2,NA
"96",96,9,9,5,1,2,3,"1","Female",28,"High School","Part Time","Hispanic","Catholic","Married",1,3,2,2,1,1,1,2,1,2,NA
"97",97,9,9,5,1,2,3,"1","Male",24,"Degree","Full Time","White","Other","Single",2,2,1,2,1,1,1,2,1,1,NA
"99",99,9,9,5,1,2,3,"1","Female",46,"Degree","Housewife","White","Christian","Married",2,3,4,2,1,1,1,2,1,2,NA
"100",100,9,9,5,1,2,3,"1","Female",36,"Some College","Part Time","White","Christian","Married",1,3,2,1,1,1,1,2,1,2,NA
"101",101,7,8,4,1,2,2,"1","Male",32,"High School","Full Time","White","Christian","Married",3,4,4,2,1,1,1,2,2,1,NA
"102",102,9,9,6,1,2,3,"1","Male",25,"High School","Full Time","Hispanic","Christian","Married",3,1,5,1,1,1,1,2,1,1,NA
"103",103,9,9,5,1,2,3,"1","Male",75,"Degree","Unemployed","White","Catholic","Married",1,3,3,3,1,1,1,2,1,2,NA
"104",104,9,5,5,1,2,3,"1","Female",42,"High School","Full Time","Hispanic","Christian","Single",1,3,3,3,1,1,1,2,1,1,NA
"106",106,9,3,5,1,2,3,"1","Male",21,"Some College","Full Time","Other","Catholic","Single",1,3,4,4,1,1,1,2,1,1,NA
"108",108,7,6,3,1,2,2,"1","Male",21,"High School","Full Time","Other","Other","Single",1,2,1,3,1,1,1,2,2,2,NA
