"","prvblf","othblf","pubact","prvact","iden1","iden2","wave","sex","age","educ","work","ethnic","denom","marital","pubblf1","pubblf2","pubblf3","pubblf4","prvblf2","prvblf3","prvblf4","othblf2","pubact2","prvact2"
"1",10,1,1,1,1,1,1,"Female",56,"Some College","Unemployed","White","Christian","Married",1,1,5,1,1,1,1,2,1,1
"2",10,4,1,1,1,1,1,"Female",42,"Degree","Full Time","White","Other","Married",3,1,3,3,1,1,1,2,1,1
"3",10,3,2,1,1,1,1,"Female",37,"Some College","Full Time","Black","Other","Separated",1,3,4,2,1,1,1,2,1,1
"4",7,1,2,1,1,2,1,"Female",46,"Degree","Full Time","White","Christian","Married",2,2,2,3,1,1,1,2,1,3
"5",10,10,1,1,1,1,1,"Female",48,"Degree","Full Time","Black","Other","Married",1,2,4,1,1,1,1,2,1,1
"6",10,3,1,1,1,1,1,"Female",38,"Some College","Full Time","Black","Other","Married",1,1,3,1,1,1,1,2,1,1
"7",10,1,1,1,1,1,1,"Female",51,"Degree","Full Time","Black","Christian","Married",1,1,2,2,1,1,1,2,1,1
"8",10,1,1,1,1,1,1,"Female",48,"Degree","Full Time","White","Other","Married",1,1,5,1,1,1,1,2,1,1
"9",10,1,3,1,1,1,1,"Female",76,"Primary School","Full Time","White","Other","Separated",1,3,5,1,1,1,1,2,2,1
"10",9,4,3,1,1,2,1,"Male",44,"Some College","Self Employed","White","Catholic","Married",1,2,5,2,1,1,1,2,2,2
"11",7,1,6,1,1,1,1,"Female",41,"High School","Self Employed","Black","Other","Separated",2,3,2,3,1,1,1,2,1,2
"12",10,1,1,1,1,1,1,"Female",30,"Degree","Housewife","White","Christian","Married",1,3,5,1,1,1,1,2,1,1
"13",10,1,5,1,1,1,1,"Male",44,"Some College","Unemployed","White","None","Separated",2,1,1,1,1,1,1,2,2,2
"14",10,7,2,1,1,1,1,"Male",41,"High School","Unemployed","Black","Other","Married",2,2,3,2,1,1,1,2,1,1
"15",10,4,4,1,1,1,1,"Female",40,"Some College","Self Employed","White",NA,"Married",1,2,3,2,1,1,1,2,2,1
"16",6,4,2,1,2,1,1,"Male",53,"Some College","Self Employed","Black","None","Separated",1,3,1,1,1,1,1,2,1,1
"17",10,1,2,1,1,1,1,"Female",44,"Degree","Full Time","White","Catholic","Married",1,1,3,2,1,1,1,2,1,1
"18",8,3,1,1,1,1,1,"Female",25,"Degree","Full Time","White","Christian","Separated",2,2,4,2,1,1,1,2,1,2
"19",10,5,2,1,1,1,1,"Female",21,"Some College","Part Time","Other","Christian","Single",1,1,4,2,1,1,1,2,1,1
"20",10,1,2,1,1,1,1,"Female",37,"Primary School","Full Time","White","Catholic","Married",1,1,3,3,1,1,1,2,1,1
"21",10,1,2,1,1,1,1,"Female",45,"Some College","Full Time","White","Other","Married",2,3,2,3,1,1,1,2,1,2
"22",10,1,3,1,1,1,1,"Female",21,"High School","Part Time","White","Other","Single",4,3,5,1,1,1,1,2,2,1
"23",10,1,2,1,1,1,1,"Male",45,"Degree","Other","Black","Catholic","Separated",1,1,3,3,1,1,1,2,1,1
"24",10,1,7,1,1,1,1,"Female",43,"High School","Part Time","Black","Other","Married",4,1,5,5,1,2,1,1,2,1
"25",8,6,3,1,1,1,1,"Female",33,"Some College","Full Time","White","Judaism","Separated",1,3,1,4,1,1,1,2,1,2
"26",10,1,1,1,1,1,1,"Male",47,"High School","Full Time","Black","Other","Married",1,1,5,1,1,1,1,2,1,1
"27",10,1,2,1,1,1,1,"Female",37,"Degree","Full Time","White","Christian","Married",1,5,4,3,1,1,1,2,1,1
"28",10,1,2,1,1,1,1,"Female",56,"Some College","Part Time","White","Christian","Married",2,2,5,1,1,1,1,2,1,1
"29",5,1,6,1,1,3,1,"Female",40,"High School","Part Time","White","None","Married",3,5,2,4,1,1,1,2,2,1
"30",10,1,3,1,2,3,1,"Female",21,"Primary School","Unemployed","Hispanic","Catholic","Married",1,4,4,4,-1,1,1,1,2,2
