"","prvblf","othblf","pubact","prvact","iden1","iden2","wave","sex","age","educ","work","ethnic","denom","marital","pubblf1","pubblf2","pubblf3","pubblf4","othblf2","pubact3","prvact2"
"1",1,1,7,1,2,2,2,"Female",35,"High School","Other","White","Other","Single",4,5,1,5,1,0,2
"2",10,1,4,1,1,4,2,"Female",57,"High School","Housewife","White","Christian","Married",1,4,5,2,2,0,4
"3",10,1,2,1,1,1,2,"Male",80,"Primary School","Unemployed","White","Christian","Married",1,4,4,2,2,2,1
"4",6,2,5,0,2,3,2,"Male",78,"High School","Unemployed","White","Christian","Married",3,5,2,4,2,1,3
"5",10,1,2,1,2,1,2,"Female",33,"High School","Other","Black","Other","Married",1,5,1,1,2,2,1
"6",4,4,7,0,2,4,2,"Male",28,"High School","Full Time","White","None","Single",4,5,1,5,1,0,4
"7",10,1,6,1,1,1,2,"Female",75,"High School","Unemployed","White","Christian","Separated",2,2,2,4,2,1,1
"8",10,1,7,1,1,2,2,"Female",36,"High School","Housewife","White","Other","Married",3,1,1,5,2,0,2
"9",8,1,5,1,3,3,2,"Male",60,"Primary School","Self Employed","White","Other","Separated",2,4,4,4,2,0,3
"10",4,3,7,0,2,2,2,"Male",62,"Primary School","Unemployed","Black","None","Married",1,4,-2,4,1,1,2
"11",10,3,1,1,1,1,2,"Male",71,"High School","Unemployed","White","Catholic","Married",1,2,2,2,2,2,3
"12",10,1,7,1,1,2,2,"Female",71,"High School","Unemployed","White","Christian","Widowed",3,5,1,5,2,0,2
"13",10,2,2,1,1,2,2,"Male",79,"High School","Unemployed","White","Christian","Married",2,4,1,4,2,2,1
"14",-5,-5,-5,NA,-5,3,2,"Male",82,"Primary School","Unemployed","Other",NA,"Married",-5,-5,-5,-5,2,0,-5
"15",-5,-5,-5,NA,-5,1,2,"Female",62,"High School","Housewife","White",NA,"Married",2,-5,-5,-5,2,2,-5
"16",10,1,7,1,1,2,2,"Female",48,"High School","Self Employed","White","None","Married",2,4,1,4,1,0,2
"17",10,1,7,1,1,2,2,"Male",57,"High School","Full Time","Other","Christian","Widowed",3,2,4,4,2,0,1
"18",6,2,6,1,1,3,2,"Male",71,"High School","Other","White","Christian","Separated",3,5,1,5,1,1,2
"19",8,1,2,1,1,1,2,"Female",56,"High School","Full Time","White","Christian","Married",2,2,4,2,2,2,2
"20",10,1,7,1,1,2,2,"Female",68,"High School","Unemployed","White","Christian","Married",1,4,2,2,2,1,1
