"","pubblf1","prvblf4","othblf","pubact","pubact3","prvact","prvact2","iden1","iden2","prvblf","wave","sex","age","educ","work","ethnic","denom","marital"
"1",4,1,1,6,1,1,2,1,2,10,3,"Female",69,"Some College","Part Time","Black","Christian","Single"
"2",4,2,1,7,0,0,3,2,4,1,3,"Female",40,"Degree","Housewife","Other","None","Married"
"3",3,1,1,7,1,0,3,2,3,6,3,"Male",38,"Degree","Full Time","White","Other","Married"
"4",2,1,1,1,2,1,2,1,1,10,3,"Female",61,"High School","Unemployed","White","Other","Married"
"5",2,1,1,2,2,1,2,1,1,10,3,"Female",62,"Degree","Unemployed","White","Catholic","Married"
"6",3,1,1,4,1,1,1,1,2,9,3,"Male",49,"Degree","Self Employed","White","Catholic","Separated"
"7",3,1,4,2,2,1,1,1,2,8,3,"Female",18,"High School","Other","White","Other","Single"
"8",2,1,1,6,0,1,2,1,2,9,3,"Female",53,"High School","Full Time","White","None","Married"
"9",1,1,1,2,2,1,2,1,2,9,3,"Male",25,"Degree","Other","White","Other","Single"
"10",2,1,2,4,1,1,1,1,2,6,3,"Female",23,"Degree","Other","White","Catholic","Single"
"11",4,2,1,7,0,0,2,2,4,1,3,"Female",55,"Degree","Full Time","White","None","Married"
"12",3,1,1,5,0,1,1,2,4,3,3,"Female",38,"Degree","Part Time","White","None","Married"
"13",2,1,1,6,0,1,3,1,1,10,3,"Female",56,"High School","Full Time","White","Christian","Married"
"14",1,1,1,2,2,1,2,1,1,10,3,"Female",68,"Some College","Unemployed","White","Christian","Married"
"15",2,1,2,3,2,1,1,1,2,7,3,"Female",57,"Degree","Full Time","White","Christian","Married"
"16",1,1,1,1,2,1,1,1,1,10,3,"Female",73,"High School","Unemployed","White","Other","Married"
"17",3,1,1,4,1,1,2,1,3,8,3,"Female",44,"Some College","Full Time","Black","None","Single"
"18",4,2,2,7,0,0,2,3,4,1,3,"Male",76,"Some College","Other","White","None","Married"
"19",2,1,2,4,1,1,1,1,2,10,3,"Female",55,"Some College","Part Time","White","Catholic","Married"
"20",2,2,1,2,2,0,2,3,3,1,3,"Male",64,"Degree","Part Time","Other","Other","Married"
"21",1,1,NA,NA,2,NA,NA,1,1,10,3,"Female",20,"Some College","Part Time","White",NA,"Single"
"22",2,1,2,1,2,1,1,1,1,10,3,"Female",37,"Degree","Full Time","White","Other","Married"
"23",1,1,1,2,2,1,2,1,1,10,3,"Female",65,"High School","Unemployed","White","Catholic","Married"
"24",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,"Male",42,"Degree",NA,"White",NA,"Married"
"25",1,1,1,2,2,1,1,1,NA,10,3,"Female",59,"High School","Full Time","White","Christian","Married"
"26",2,1,1,2,1,1,2,1,2,8,3,"Male",36,"Degree","Full Time","White","Christian","Married"
"27",2,1,1,7,0,1,1,1,3,8,3,"Male",31,"High School","Unemployed","White","None","Single"
"28",2,1,1,6,0,1,2,1,4,9,3,"Female",63,"Degree","Full Time","White","None","Separated"
"29",1,1,1,2,2,1,2,1,1,9,3,"Male",66,"Some College","Full Time","White","Catholic","Married"
"30",3,1,1,2,2,1,1,2,3,4,3,"Male",50,"Degree","Full Time","White","Catholic","Married"
"31",2,1,1,1,2,1,NA,1,1,10,3,"Male",79,"Some College","Unemployed","White","Christian","Widowed"
"32",2,1,1,7,1,0,3,1,3,6,3,"Male",59,"Degree","Part Time","White","Christian","Married"
"33",2,1,2,2,2,1,2,1,1,10,3,"Male",37,"Degree","Full Time","White","Catholic","Married"
"34",2,1,1,4,1,1,1,1,3,10,3,"Male",38,"High School","Full Time","White","None","Married"
"35",2,1,1,6,0,1,2,1,2,10,3,"Female",46,"Some College","Full Time","Other","Catholic","Married"
